YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA HARVESTED in ACRES","AREA PLANTED in ACRES","PRODUCTION in CWT","YIELD in LB / ACRE","PRODUCTION in $"
1909,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","764,000","768,000","6,430,000",888,"21,248,000"
1909,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","404,000","404,000","3,064,000",786,"9,498,000"
1910,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","800,000","809,000","6,079,000",817,"20,892,000"
1910,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","420,000","420,000","2,945,000",750,"8,688,000"
1911,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","475,000","540,000","2,907,000",720,"10,029,000"
1911,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","931,000","1,010,000","6,659,000",799,"23,772,000"
1912,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","954,000","992,000","6,736,000",785,"23,140,000"
1912,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","513,000","534,000","3,541,000",780,"11,331,000"
1913,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","953,000","981,000","6,057,000",681,"20,525,000"
1913,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","510,000","510,000","3,325,000",690,"9,476,000"
