YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA HARVESTED in ACRES","AREA PLANTED in ACRES","PRODUCTION in TONS","YIELD in TONS / ACRE","PRODUCTION in $","PRICE RECEIVED in $ / TON","PRODUCTION in $ / TON"
1909,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"420,000"," ","4,240,000",10.1,"21,442,000"," "," "
1910,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"398,000"," ","4,138,000",10.4,"22,544,000"," "," "
1911,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"474,000"," ","5,062,000",10.7,"27,841,000"," "," "
1912,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"555,000"," ","5,648,000",10.2,"32,871,000"," "," "
1913,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"580,000","635,000","5,886,000",10.1,"33,491,000"," "," "
1914,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"483,000","515,000","5,585,000",11.6,"30,438,000"," "," "
1915,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"611,000","664,000","6,511,000",10.7,"36,950,000"," "," "
1916,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"665,000","768,000","6,228,000",9.4,"38,139,000"," "," "
1917,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"665,000","807,000","5,980,000",9,"44,192,000"," "," "
1918,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"594,000","690,000","5,949,000",10,"59,494,000"," "," "
1919,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"692,000","890,000","6,421,000",9.3,"75,420,000"," "," "
1920,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"872,000","978,000","8,538,000",9.8,"99,324,000"," "," "
1921,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"815,000","882,000","7,782,000",9.5,"49,392,000"," "," "
1922,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"530,000","606,000","5,183,000",9.8,"41,017,000"," "," "
1923,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"657,000","732,000","7,006,000",10.7,"62,965,000"," "," "
1924,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"134,000","154,000","966,000",7.2," "," "," "
1924,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"816,000","936,000","7,508,000",9.2," "," "," "
1925,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"99,000","120,000","969,000",9.8," "," "," "
1925,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"648,000","784,600","7,381,000",11.4," "," "," "
1926,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"677,000","746,000","7,223,000",10.7," "," "," "
1926,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"100,000","110,000","793,000",7.9," "," "," "
1927,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"99,000","109,000","698,000",7.1," "," "," "
1927,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"721,000","756,000","7,753,000",10.8," "," "," "
1928,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"71,000","87,000","452,000",6.4," "," "," "
1928,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"644,000","698,000","7,101,000",11," "," "," "
